ComID,PropertyID,TaxYear,BuildingNumber,UnitsPerBldg,StructureType,StructureType_Desc,IdenticalUnits,Grade,BuildingName,ClassCode,YearBuilt,YearEffective,YearRemod,PctComplete,Comments,PctCompleteFactor,ECF,CountyIndex,GradeFactor,RCN,UnAdjRCNLD,RCNLD,ElevatorUnAdjRCNLD,ElevatorECNLD,AvgSFCost,AvgPctGood,TotalIdenticalUnits,TotalRCNLD,TotCostArea
361926697,622186,2019,3,1.000000,397,397 - Flex Warehouse,1.000000,A,NULL,3150,2010.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,285130.000000,248064.000000,303184.000000,0.000000,0.000000,66.020000,0.870000,1.000000,303180.000000,4592.000000
361926704,622186,2019,4 & 5,1.000000,398,398 - Warehouse,2.000000,A,NULL,3150,1940.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,61230.000000,18981.000000,23199.000000,0.000000,0.000000,8.060000,0.310000,2.000000,46400.000000,2880.000000
361926709,622186,2019,6 & 7,1.000000,398,398 - Warehouse,2.000000,A,NULL,3150,1940.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,66450.000000,27245.000000,33299.000000,0.000000,0.000000,11.560000,0.410000,2.000000,66600.000000,2880.000000
300784415,622191,2019,1,1.000000,398,398 - Warehouse,1.000000,A,NULL,3150,1982.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,378630.000000,204460.000000,249891.000000,0.000000,0.000000,24.020000,0.540000,1.000000,249890.000000,10404.000000
300784420,622191,2019,2,1.000000,398,398 - Warehouse,1.000000,A,NULL,3150,2005.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,91470.000000,69517.000000,84964.000000,0.000000,0.000000,35.400000,0.760000,1.000000,84960.000000,2400.000000
300784425,622191,2019,3,1.000000,105,105 - Mixed Res/Com (built as Res),1.000000,A,NULL,3150,1950.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,42540.000000,21695.000000,26516.000000,0.000000,0.000000,31.870000,0.510000,1.000000,26520.000000,832.000000
360561388,622192,2019,1,1.000000,398,398 - Warehouse,1.000000,G,Gallatin County Search & Rescue,3150,2000.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.330000,463070.000000,324149.000000,396175.000000,0.000000,0.000000,48.910000,0.700000,1.000000,396180.000000,8100.000000
360561395,622192,2019,2,1.000000,367,367 - Social/Fraternal Hall,1.000000,G,Exhibit Building,3150,2000.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.330000,480990.000000,322263.000000,393870.000000,0.000000,0.000000,65.650000,0.670000,1.000000,393870.000000,6000.000000
360561402,622192,2019,3,1.000000,367,367 - Social/Fraternal Hall,1.000000,G,Exhibit Building,3150,2000.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.330000,2583410.000000,1730885.000000,2115488.000000,0.000000,0.000000,116.180000,0.670000,1.000000,2115490.000000,18209.000000
360561409,622192,2019,4,1.000000,353,"353 - Office Building, Low Rise (1 to 4 stories)",1.000000,A,Fairgrounds Office,3150,2000.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,242380.000000,174514.000000,213291.000000,0.000000,0.000000,103.040000,0.720000,1.000000,213290.000000,2070.000000
